room,level,num_players
37559,1154,1500
37558,1119,1500
37651,958,1500
37584,808,1500
37561,779,1500
37645,722,1500
37569,721,1500
37554,680,1500
37560,660,1500
37556,655,1500
37578,621,1500
37552,610,1500
37671,608,1500
37555,605,1500
37567,594,1500
37557,569,1500
37562,559,1500
37572,554,1500
37574,547,1500
37581,536,1500
37580,530,1411
37586,529,1464
37568,520,1375
37573,517,1313
37583,515,1346
37600,509,1245
37601,508,1186
37575,500,1439
37553,500,1500
37587,492,1310
37565,483,1319
37582,480,1266
37579,475,1211
37621,470,1147
37563,459,1430
37576,459,1327
37585,447,1231
37603,447,1188
37602,441,1166
37593,434,1175
37566,416,1236
37613,413,1140
37564,409,1079
37607,406,1100
37608,401,1142
37589,400,1229
37611,397,1082
37597,388,1169
37606,381,1143
37588,380,1147
37571,380,1079
37646,377,1135
37599,376,1124
37623,375,1118
37570,373,1117
37639,366,1094
37609,366,1123
37592,362,1060
37596,362,1125
37590,359,1096
37595,351,1079
37631,349,1094
37622,349,1146
37604,348,1097
37777,348,1500
37617,347,1109
37610,346,1113
37594,343,1099
37616,343,1073
37618,342,1076
37615,339,1151
37605,339,1130
37614,334,1139
37620,333,1151
37577,333,1128
37619,329,1118
37598,328,1160
37625,320,1143
37612,316,1100
37657,316,1049
37681,315,1078
37637,314,1057
37654,314,1077
37658,310,1077
37638,309,1103
37636,303,1061
37624,302,1082
37647,299,1075
37652,297,1057
37649,292,1082
37648,292,1049
37655,292,1061
37633,289,1073
37634,289,1064
37627,283,1159
37667,279,1043
37591,278,1049
37630,277,1067
37706,276,1065
37687,276,1086
37693,275,1064
37695,272,1103
37656,271,1070
37632,271,1075
37690,271,1059
37644,269,1049
37650,269,1029
37641,269,1086
37643,269,1063
37707,268,1180
37626,267,1058
37642,266,1051
37629,266,1060
37688,263,1060
37665,260,1068
37683,259,1068
37673,257,1040
37659,253,1063
37661,252,1043
37685,252,1062
37694,252,1026
37635,250,1050
37628,248,1188
37668,247,1057
37640,240,1041
37692,240,1042
37653,239,1064
37672,239,1023
37678,239,1039
37663,238,1058
37684,238,1038
37686,237,1030
37670,237,1039
37696,236,1034
37697,233,1014
37675,233,1071
37679,230,1036
37682,229,1047
37700,228,1047
37660,228,1031
37728,222,1028
37712,222,1057
37691,220,1094
37726,219,1044
37717,219,1033
37666,218,1069
37705,218,1036
37664,218,1036
37721,216,1036
37731,215,1049
37703,215,1027
37723,214,1041
37674,214,1044
37669,212,1037
37699,212,1020
37719,211,1022
37701,209,1020
37676,209,1028
37708,209,1035
37738,207,1023
37662,206,1034
37704,203,1042
37714,203,1022
37725,199,1033
37677,197,1055
37753,195,1032
37698,195,1027
37730,193,1019
37729,192,1040
37702,189,1058
37742,189,1033
37722,189,1028
37735,189,1025
37739,189,1022
37680,187,1058
37689,186,1035
37759,185,1028
37741,185,1034
37718,184,1011
37727,183,1028
37709,180,1024
37713,180,1022
37745,179,1042
37715,177,1005
37711,177,1043
37749,176,1028
37766,176,1041
37746,174,1028
37748,174,1020
37716,174,1044
37724,173,1007
37754,172,1018
37768,172,1005
37733,169,1015
37747,169,1040
37764,169,1034
37762,169,1025
37710,169,1009
37767,169,1032
37765,169,1013
37763,168,1017
37737,168,1022
37755,167,1079
37740,166,1006
37761,166,1036
37786,165,1006
37757,163,1007
37794,163,1025
37758,161,1015
37756,161,1017
37776,160,1012
37783,159,1004
37736,158,1017
37732,158,1015
37775,155,1007
37744,154,1030
37774,153,1000
37789,150,1009
37795,150,1037
37720,150,1023
37752,149,1044
37734,149,1030
37743,149,1031
37750,149,1008
37751,149,1034
37778,149,1037
37773,148,1018
37782,148,1000
37803,147,1019
37784,147,992
37788,145,1000
37790,144,1002
37798,142,998
37760,140,1035
37810,139,1011
37793,137,1000
37819,136,1008
37801,135,1041
37771,134,1038
37831,133,1021
37797,132,1009
37800,131,1031
37772,131,1014
37779,130,1006
37769,129,1005
37799,129,1030
37807,129,1013
37812,127,1004
37781,126,1019
37770,126,1036
37814,125,1022
37792,125,1030
37780,125,996
37811,124,1015
37885,124,1331
37791,123,1019
37817,122,1008
37837,121,1018
37826,121,1026
37835,121,1023
37802,120,982
37804,119,1006
37787,119,1003
37785,119,1015
37796,116,986
37824,114,1007
37827,114,1009
37809,114,997
37838,113,993
37834,113,998
37864,112,1010
37843,110,1017
37833,109,1001
37822,109,991
37820,109,1001
37816,109,1029
37839,109,1009
37829,108,1012
37808,108,995
37867,107,999
37821,107,1026
37847,107,997
37830,106,1000
37852,105,1024
37815,105,1013
37813,105,991
37825,103,1009
37806,103,1004
37848,103,993
37868,102,1017
37818,102,995
37856,101,1020
37875,101,1051
37823,101,1005
37866,100,995
37844,99,1021
37846,99,995
37865,99,979
37805,98,1023
37832,98,1015
37853,98,1033
37836,97,997
37857,97,998
37855,95,996
37828,94,984
37841,94,995
37874,94,1009
37873,93,997
37840,93,1020
37851,93,992
37863,93,1012
37870,93,1020
37850,92,1026
37854,92,1013
37860,91,1010
37872,89,995
37845,89,998
37862,89,998
37871,89,993
37869,89,997
37842,88,1004
37849,87,1006
37858,85,1004
37861,85,1031
37886,80,996
37859,80,1014
37903,79,1002
37896,78,1003
37897,78,1020
37892,76,998
37883,76,992
37907,76,1006
37902,74,1000
37891,74,1002
37899,73,997
37882,73,1009
37887,73,1001
37898,72,998
37906,72,991
37910,71,1000
37876,71,989
37879,71,998
37884,70,1001
37889,69,1005
37881,69,1007
37877,69,1009
37911,69,995
37888,68,1014
37893,68,1006
37901,67,1026
37880,67,1008
37909,66,987
37878,66,993
37900,65,1004
37905,64,995
37904,61,1009
37908,59,1013
37894,59,988
37895,59,1000
37890,56,1001
37922,49,1008
37920,46,999
37943,44,1008
37923,43,1001
37939,43,998
37912,43,997
37938,42,1008
37916,42,1002
37925,41,997
37919,40,998
37918,39,1003
37935,39,993
37927,39,1012
37917,39,1000
37934,38,998
37921,38,1003
37942,37,1007
37933,37,998
37945,37,1002
37937,36,993
37929,36,1000
37915,36,991
37932,35,997
37928,35,994
37946,35,988
37947,33,994
37936,33,1004
37913,30,1007
37931,29,992
37941,29,1002
37914,27,996
37940,25,996
37930,24,1008
37924,24,998
37944,21,1004
37926,20,987
37956,10,1004
37958,9,994
37975,9,997
37948,9,998
37959,8,990
37974,8,1003
37955,5,988
37954,5,995
37963,5,992
37978,4,990
37957,3,997
37952,2,1000
37979,2,1005
37970,1,1001
37961,1,1001
37971,1,998
37953,1,999
38004,0,0
38003,0,1
37992,0,424
38017,0,76
38002,0,0
37982,0,999
37983,0,901
37996,0,0
37995,0,303
38014,0,217
37998,0,0
37990,0,242
38006,0,108
38016,0,0
38009,0,1
37999,0,220
38015,0,160
37991,0,214
38008,0,1
38010,0,320
38007,0,112
38000,0,1
38018,0,30
38013,0,0
38011,0,340
37986,0,1
37973,0,968
38012,0,1
37987,0,0
37951,0,1001
37960,0,718
37980,0,743
37981,0,997
37966,0,749
38001,0,41
37962,0,716
37976,0,676
37949,0,895
37972,0,903
37968,0,956
37964,0,975
37965,0,1000
37988,0,123
38005,0,48
37993,0,173
37984,0,368
37977,0,845
37994,0,444
37985,0,1
37969,0,994
37950,0,852
37967,0,845
37997,0,63
37989,0,91
