room,level,num_players,num_mobs_killed,num_towers_killed,num_minibosses_killed,num_bosses_killed,num_clicks,num_abilities_activated,num_players_reaching_milestone_level,num_ability_items_activated,num_active_players,time_simulating,time_saving
41671,29191,1477,230644,77120,17216,2739,173131709,912920,1500,1047611,808,6.0383943389566,74.417825746939
41673,28249,1414,224477,75060,16689,2663,138427899,768962,1500,896687,638,5.1334624784633,65.308906050701
41672,25943,1404,206455,69054,15311,2442,157649411,557136,1500,704034,573,3.731955584401,68.948420210404
41661,25479,1412,203006,67873,15031,2395,152820409,511670,1498,671780,541,5.6708972064345,69.101458736845
41668,23401,1383,185946,62180,13847,2200,166109213,392923,1489,544498,444,3.1520078320402,64.777234878495
41569,21657,1411,172701,57762,12844,2021,150219979,285505,1485,440791,348,2.8607235971107,62.818425949627
41348,16900,1408,135049,45177,10006,1549,119823439,222610,1499,295261,182,6.9407684208,60.041595716167
41652,13999,1255,111657,37339,8274,1304,120613989,172755,1282,203788,180,5.4917878728503,54.866444245997
41746,12727,1370,102017,34127,7561,1201,128874019,146813,1366,169792,198,3.3585728744267,60.524921423611
41670,11199,1112,89115,29797,6607,1035,112802723,104630,1184,153656,127,2.0989385414122,104.85670325264
41674,11028,1354,87532,29281,6363,1024,35039319,107523,1497,187756,85,3.3887221013107,55.890990852744
41373,10819,1303,86482,28921,6338,1026,43729275,80022,1499,171385,97,6.0397101402112,91.417273212122
41665,10698,1365,84822,28351,6158,992,34016061,101318,1500,180966,83,6.8518130574879,46.351317519574
41622,9561,1375,76072,25415,5593,903,29172901,74757,1498,156562,78,4.1347985043061,136.01901489067
41599,8589,1242,68747,22974,4974,802,28416713,54095,1359,131297,70,8.1394126014756,103.66201009278
41675,7227,1182,57593,19252,4217,692,27608087,43656,1329,110122,77,3.6376318866306,87.47837232766
41320,6979,1106,55884,18689,4060,662,22435059,37855,1180,99646,68,3.5235441577871,64.954490413447
41612,6897,1088,55162,18454,4049,667,24794158,36221,1145,93616,68,4.0515986700939,60.304724974538
41436,6519,1122,51824,17330,3669,585,22399886,41040,1200,99191,54,5.4819318547064,76.994071983166
41662,6497,1163,51694,17292,3726,613,19755291,36910,1231,100187,63,4.6472419454188,79.102353827644
41578,6409,1049,51427,17193,3778,625,22994328,31850,1120,85800,62,2.4157511931117,60.131630940904
41876,6219,1064,50035,16734,3681,604,59042583,37338,1109,51516,78,2.9035820066701,74.619930496795
41425,6059,984,48415,16190,3484,568,18893921,32875,1042,84397,55,5.9712921219554,48.842762154622
41623,6036,1031,47800,15984,3450,568,24470316,29662,1128,81732,66,29.924868974613,53.870420132017
41642,5905,1103,47211,15793,3403,555,21920179,25550,1176,80090,60,10.764011941834,63.419441825029
41609,5889,1042,47160,15772,3444,565,19984190,28700,1119,80258,69,2.9960407837153,55.251252622941
41568,5759,1068,46214,15447,3366,553,19358964,26306,1129,80182,62,3.7851601369944,57.842503107106
41323,5708,1075,45520,15213,3313,544,18425600,27402,1149,82129,51,17.180500735837,66.231601780377
41636,5620,1060,44847,14998,3258,540,21185954,26097,1135,81153,68,7.2147603108132,64.239466282255
41637,5503,1033,44079,14745,3213,534,19045118,26585,1088,78510,55,6.9554419002007,61.966925715534
41499,5469,1037,43795,14648,3205,531,20173090,27706,1129,72260,57,2.9472891435133,61.718643127901
41627,5465,1010,43566,14549,3088,511,15417095,28261,1057,82720,41,1.3285819160427,57.677376593338
41666,5445,569,43661,14587,3173,486,111832005,60013,933,55217,91,7.5214507263454,22.72811194837
41412,5356,978,42528,14227,3078,509,16120579,24311,1040,72762,39,7.8451510889959,53.370892170348
41397,5251,1022,42068,14063,3040,504,20485361,25994,1095,72159,49,4.4578451373172,52.427871823824
41656,5173,1030,41511,13876,3054,510,18396007,24778,1080,67081,63,3.103757816521,55.066944425784
41669,5069,1027,40590,13562,2944,487,19915055,22101,1081,73266,55,2.9856911598664,56.187160356622
41437,5064,1015,40469,13543,2925,482,17218127,24246,1074,78351,56,5.7356142036558,52.266087739657
41667,5048,980,40436,13512,2935,480,17814784,21099,1040,72050,47,1.4254042562969,50.492686252946
41414,5034,1045,39825,13314,2809,463,15065671,30433,1137,78649,46,10.917605090498,56.753034876057
41454,5006,937,40164,13430,2943,490,19628885,24210,982,64362,62,7.0929599686748,51.013761260113
41327,4698,993,37552,12545,2708,450,17801075,21955,1043,63389,41,5.3778198940583,44.702101961222
41621,4581,951,36742,12278,2670,439,15104800,20242,1009,62668,63,8.3181867792669,41.410647269302
41660,4458,1010,35652,11933,2531,421,15451715,21394,1057,65827,49,5.5781856223721,46.413183702688
41654,4439,973,35311,11818,2571,426,14791612,21729,1038,61751,39,6.9427084667135,57.51522114975
41538,4399,928,35123,11741,2539,422,16468212,23194,991,60269,46,9.8985952040356,44.012855781932
